question,golden_answer,generated_answer,evaluation
What is SQL indexing?,SQL indexing is a data structure technique used to quickly locate and access the data in a database table.,"SQL indexing is a data structure (often a B‑tree or hash) that the database creates on one or more table columns to speed up search, sort, and join operations by allowing rapid row location without scanning the entire table.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a primary key?,A primary key is a unique identifier for a record in a database table.,"A primary key is a unique identifier for each record in a database table. It must contain distinct, non‑null values, ensuring every row can be uniquely accessed and referenced by other tables.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a foreign key?,A foreign key is a field in a database table that links to the primary key of another table.,"A foreign key is a column (or set of columns) in a table that references the primary key of another table, establishing a link between the two tables and enforcing referential integrity.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity.,Normalization is the process of organizing a database’s tables to minimize redundancy and dependency by dividing data into related tables and applying rules (normal forms) that ensure each piece of information is stored only once and logically linked.,"{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is denormalization?,Denormalization is the process of combining tables to improve read performance at the cost of write performance and data integrity.,"Denormalization is the intentional duplication of data in a database to reduce joins and improve read performance, often by merging related tables or adding redundant fields, at the cost of increased storage and potential update anomalies.","{'correctness': 9, 'relevance': 10, 'completeness': 9, 'faithfulness': 9, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is a composite key?,A composite key is a combination of two or more columns in a database table that uniquely identifies a row in that table.,"A composite key is a primary (or unique) key made up of two or more columns/attributes whose combined values uniquely identify each record in a table. Individually the columns may not be unique, but together they enforce row uniqueness.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a surrogate key?,"A surrogate key is an artificial key that is used to uniquely identify a record in a table, often implemented as an auto-incrementing integer.","A surrogate key is an artificial, system‑generated primary key (often an auto‑increment integer or UUID) that uniquely identifies a table row but has no business meaning. It replaces natural keys to simplify joins, improve performance, and avoid key changes.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a natural key?,A natural key is a type of primary key that is formed of attributes that naturally exist and are used to identify a record.,"A natural key is a primary key composed of one or more existing data attributes that uniquely identify a record (e.g., Social Security Number, email). It uses real-world values rather than an artificial surrogate key generated by the system.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a database schema?,"A database schema is the structure that defines the organization of data in a database, including tables, fields, relationships, and constraints.","A database schema is the organized structure that defines how data is stored in a database—its tables, columns, data types, relationships, constraints, indexes, and other elements that describe the logical layout of the data.","{'correctness': 9, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 5, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a database instance?,"A database instance is a specific implementation of a database, including the data and the database management system (DBMS) that manages it.","A database instance is the set of memory structures (buffer cache, shared pool, etc.) and background processes that a DBMS creates when it starts, together with the physical data files it accesses. It represents a running, operational copy of the database.","{'correctness': 9, 'relevance': 10, 'completeness': 9, 'faithfulness': 9, 'hallucination': 10, 'reasoning_quality': 7, 'fluency_and_readability': 9, 'coherence': 9, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
